champion_name,rows,v5_mean,v8_mean,productive_mean,presence_mean,expert_archetype,expert_support_roam_score,expert_confidence,notes
Seraphine,7739,0.31412041245586053,0.26126742557614907,0.2428780634879614,0.11407020102264966,lane_enchanter,0.3,0.7,Usually grouped/lane and teamfight oriented.
Shaco,1445,0.5404283634733934,0.5331252563707186,0.5732871972318339,0.2878950403690888,ambush_roamer,0.74,0.65,"Trap and ambush patterns can create strong map pressure, but support usage is non-standard."
Shen,976,0.3665246756514032,0.3830837619100604,0.39375,0.1654030054644809,protective_roamer,0.62,0.65,Global protection and taunt setup can support roams despite a protective identity.
Sona,11424,0.3335971472202456,0.2834170848461966,0.2677375116713352,0.12973793684140322,scaling_enchanter,0.22,0.8,Weak early roam profile and scaling lane identity.
Soraka,7211,0.322337698829907,0.31518171272850676,0.3164609624185272,0.1150555368451638,adc_enabler,0.2,0.85,Very ADC/team protection oriented.
Swain,1274,0.3265352773337573,0.287248737939523,0.2731030873888017,0.12653995664199744,lane_mage,0.36,0.7,Often lane pressure and skirmish follow-up.
Sylas,1353,0.49083352579112466,0.4961415397931805,0.5227642276422764,0.2590724316334072,skirmish_roamer,0.58,0.45,"Mobility and skirmish tools can enable roaming, but support usage is non-standard."
Taric,4608,0.3223018566844765,0.2877653338162883,0.27359664351851853,0.133974041005291,protective_warden,0.3,0.75,Low early roam identity; values linked ally play.
Thresh,19852,0.37826721529802937,0.33249661528393587,0.3177228155013769,0.1562087423121576,pick_roamer,0.72,0.85,"Hook, lantern and setup make roaming plausible."
Xerath,864,0.29398963908165204,0.2483317333342434,0.22777777777777775,0.1056699184303351,lane_mage,0.26,0.75,Long-range lane poke more than map roaming.
Yuumi,4689,0.14909535543748414,0.1583034718375162,0.14387573754176441,0.07233012420152535,adc_enabler,0.08,0.95,Attached play pattern is explicitly lane/carry anchored.
Zilean,5960,0.3632546960152771,0.3235991225600922,0.31244407158836685,0.1602161233620965,utility_roamer,0.55,0.65,Can roam but often tied to scaling utility.
Zoe,1964,0.4219998615809678,0.3965268991551902,0.393397827562797,0.2019560420909708,pick_mage,0.44,0.45,"Pick threat can create roam value, but support usage is niche and confidence is limited."
Zyra,1605,0.30587259064348576,0.24811563410528129,0.22083073727933542,0.11718736092567869,lane_mage,0.34,0.75,Lane control and poke identity.
